,HW-1,HW-101,HW-113,HW-16,HW-17,HW-25,HW-28,HW-42,HW-45,HW-56,HW-70,HW-8,HW-81,HW-97,TH9-022
HW-1,100.0,53.5,42.2,52.4,54.3,53.3,56.8,56.8,52.4,47.7,52.4,45.2,47.7,38.1,46.9
HW-101,53.5,100.0,50.0,55.0,44.2,44.2,57.5,39.1,45.5,41.9,58.5,55.0,43.9,52.4,44.9
HW-113,42.2,50.0,100.0,40.0,44.4,53.3,51.1,33.3,53.3,37.8,46.7,46.7,46.7,41.3,52.1
HW-16,52.4,55.0,40.0,100.0,54.8,52.4,66.7,44.2,52.5,40.5,61.5,68.6,47.5,43.9,45.8
HW-17,54.3,44.2,44.4,54.8,100.0,52.3,57.1,53.2,57.1,50.0,61.9,52.4,52.4,52.4,56.2
HW-25,53.3,44.2,53.3,52.4,52.3,100.0,61.9,52.3,67.4,38.1,64.3,59.5,64.3,50.0,66.7
HW-28,56.8,57.5,51.1,66.7,57.1,61.9,100.0,51.2,62.5,50.0,69.2,71.8,65.0,52.4,54.9
HW-42,56.8,39.1,33.3,44.2,53.2,52.3,51.2,100.0,44.4,42.2,54.5,46.5,53.5,41.3,43.8
HW-45,52.4,45.5,53.3,52.5,57.1,67.4,62.5,44.4,100.0,40.9,64.3,62.5,59.5,48.8,66.7
HW-56,47.7,41.9,37.8,40.5,50.0,38.1,50.0,42.2,40.9,100.0,41.3,38.1,47.6,35.7,41.7
HW-70,52.4,58.5,46.7,61.5,61.9,64.3,69.2,54.5,64.3,41.3,100.0,61.5,62.5,51.2,56.2
HW-8,45.2,55.0,46.7,68.6,52.4,59.5,71.8,46.5,62.5,38.1,61.5,100.0,57.5,46.3,52.1
HW-81,47.7,43.9,46.7,47.5,52.4,64.3,65.0,53.5,59.5,47.6,62.5,57.5,100.0,51.2,54.2
HW-97,38.1,52.4,41.3,43.9,52.4,50.0,52.4,41.3,48.8,35.7,51.2,46.3,51.2,100.0,44.0
TH9-022,46.9,44.9,52.1,45.8,56.2,66.7,54.9,43.8,66.7,41.7,56.2,52.1,54.2,44.0,100.0
