,HW-1,HW-101,HW-113,HW-16,HW-17,HW-25,HW-28,HW-42,HW-45,HW-56,HW-70,HW-8,HW-81,HW-97,TH9-022
HW-1,100.0,66.4,57.4,65.8,67.8,66.9,65.3,75.6,62.7,72.3,67.5,65.8,62.7,59.3,63.7
HW-101,66.4,100.0,70.8,79.8,72.6,76.1,80.7,56.7,76.5,58.0,80.0,80.9,73.0,81.0,73.2
HW-113,57.4,70.8,100.0,68.1,63.9,74.2,71.4,51.2,76.5,52.1,68.9,69.2,75.0,68.9,72.1
HW-16,65.8,79.8,68.1,100.0,74.8,80.9,79.5,57.6,78.1,55.6,84.8,86.2,74.6,73.0,76.9
HW-17,67.8,72.6,63.9,74.8,100.0,73.0,75.9,66.1,73.3,62.4,78.3,76.7,71.6,73.3,75.2
HW-25,66.9,76.1,74.2,80.9,73.0,100.0,79.3,62.2,84.5,55.6,86.1,81.9,81.0,76.7,87.6
HW-28,65.3,80.7,71.4,79.5,75.9,79.3,100.0,63.0,81.6,60.2,80.5,83.2,79.8,79.3,77.0
HW-42,75.6,56.7,51.2,57.6,66.1,62.2,63.0,100.0,57.1,72.0,61.3,61.0,63.9,58.0,59.3
HW-45,62.7,76.5,76.5,78.1,73.3,84.5,81.6,57.1,100.0,54.2,81.6,80.0,80.7,78.3,83.6
HW-56,72.3,58.0,52.1,55.6,62.4,55.6,60.2,72.0,54.2,100.0,58.1,59.0,61.3,54.2,56.1
HW-70,67.5,80.0,68.9,84.8,78.3,86.1,80.5,61.3,81.6,58.1,100.0,83.2,78.9,75.7,81.0
HW-8,65.8,80.9,69.2,86.2,76.7,81.9,83.2,61.0,80.0,59.0,83.2,100.0,75.7,75.9,77.9
HW-81,62.7,73.0,75.0,74.6,71.6,81.0,79.8,63.9,80.7,61.3,78.9,75.7,100.0,75.7,77.9
HW-97,59.3,81.0,68.9,73.0,73.3,76.7,79.3,58.0,78.3,54.2,75.7,75.9,75.7,100.0,74.6
TH9-022,63.7,73.2,72.1,76.9,75.2,87.6,77.0,59.3,83.6,56.1,81.0,77.9,77.9,74.6,100.0
