,HW-1,HW-101,HW-113,HW-16,HW-17,HW-25,HW-28,HW-42,HW-45,HW-56,HW-70,HW-8,HW-81,HW-97,TH9-022
HW-1,100.0,91.1,93.8,48.7,92.9,96.4,92.9,95.5,94.6,48.2,96.4,48.2,52.5,95.5,47.8
HW-101,91.1,100.0,93.8,47.4,88.4,92.0,89.3,92.9,92.9,46.5,92.9,46.0,50.8,92.0,46.0
HW-113,93.8,93.8,100.0,48.2,91.1,94.6,92.0,94.6,95.5,47.4,94.6,48.7,52.5,94.6,46.9
HW-16,48.7,47.4,48.2,100.0,48.7,49.6,48.2,47.8,50.0,82.4,49.6,77.8,39.7,50.0,80.6
HW-17,92.9,88.4,91.1,48.7,100.0,92.9,89.3,92.9,92.0,48.2,93.8,48.2,52.5,92.0,46.9
HW-25,96.4,92.0,94.6,49.6,92.9,100.0,92.9,95.5,95.5,49.1,97.3,48.2,52.5,95.5,47.8
HW-28,92.9,89.3,92.0,48.2,89.3,92.9,100.0,92.0,92.9,47.4,92.9,46.0,52.5,94.6,46.0
HW-42,95.5,92.9,94.6,47.8,92.9,95.5,92.0,100.0,93.8,47.4,95.5,47.4,53.4,94.6,46.9
HW-45,94.6,92.9,95.5,50.0,92.0,95.5,92.9,93.8,100.0,49.1,95.5,47.8,52.5,95.5,47.8
HW-56,48.2,46.5,47.4,82.4,48.2,49.1,47.4,47.4,49.1,100.0,49.1,78.5,40.5,49.1,82.2
HW-70,96.4,92.9,94.6,49.6,93.8,97.3,92.9,95.5,95.5,49.1,100.0,48.2,53.4,95.5,46.9
HW-8,48.2,46.0,48.7,77.8,48.2,48.2,46.0,47.4,47.8,78.5,48.2,100.0,42.6,47.8,75.7
HW-81,52.5,50.8,52.5,39.7,52.5,52.5,52.5,53.4,52.5,40.5,53.4,42.6,100.0,53.4,40.5
HW-97,95.5,92.0,94.6,50.0,92.0,95.5,94.6,94.6,95.5,49.1,95.5,47.8,53.4,100.0,47.8
TH9-022,47.8,46.0,46.9,80.6,46.9,47.8,46.0,46.9,47.8,82.2,46.9,75.7,40.5,47.8,100.0
